x;Scheme;Truncation Error;Analytical Solution
T= 0
0;300;0;300
0.05;100;0.0813912;100.081
0.1;100;0.0412029;100.041
0.15;100;0.0280455;100.028
0.2;100;0.0216616;100.022
0.25;100;0.0180063;100.018
0.3;100;0.0157381;100.016
0.35;100;0.0142899;100.014
0.4;100;0.0133876;100.013
0.45;100;0.0128911;100.013
0.5;100;0.0127324;100.013
0.55;100;0.0128911;100.013
0.6;100;0.0133876;100.013
0.65;100;0.0142899;100.014
0.7;100;0.0157381;100.016
0.75;100;0.0180063;100.018
0.8;100;0.0216616;100.022
0.85;100;0.0280455;100.028
0.9;100;0.0412029;100.041
0.95;100;0.0813912;100.081
1;300;1.55751e-10;300
T= 0.1
0;300;0;300
0.05;233.335;11.3994;244.735
0.1;183.338;12.5617;195.9
0.15;150.01;7.75891;157.769
0.2;129.186;2.27396;131.46
0.25;116.703;1.28323;115.42
0.3;109.444;2.66502;106.779
0.35;105.339;2.672;102.667
0.4;103.109;2.16875;100.94
0.45;102.018;1.70556;100.313
0.5;101.693;1.52992;100.163
0.55;102.018;1.70556;100.313
0.6;103.109;2.16875;100.94
0.65;105.339;2.672;102.667
0.7;109.444;2.66502;106.779
0.75;116.703;1.28323;115.42
0.8;129.186;2.27396;131.46
0.85;150.01;7.75891;157.769
0.9;183.338;12.5617;195.9
0.95;233.335;11.3994;244.735
1;300;5.68434e-14;300
T= 0.2
0;300;0;300
0.05;256.4;4.11752;260.518
0.1;216.923;6.49355;223.416
0.15;184.046;6.60963;190.655
0.2;158.451;5.0239;163.475
0.25;139.595;2.70076;142.295
0.3;126.354;0.461443;126.816
0.35;117.502;1.2478;116.254
0.4;111.97;2.32953;109.64
0.45;108.967;2.88488;106.082
0.5;108.018;3.05043;104.968
0.55;108.967;2.88488;106.082
0.6;111.97;2.32953;109.64
0.65;117.502;1.2478;116.254
0.7;126.354;0.461443;126.816
0.75;139.595;2.70076;142.295
0.8;158.451;5.0239;163.475
0.85;184.046;6.60963;190.655
0.9;216.923;6.49355;223.416
0.95;256.4;4.11752;260.518
1;300;5.68434e-14;300
T= 0.3
0;300;0;300
0.05;265.536;2.13269;267.669
0.1;232.974;3.69022;236.665
0.15;203.836;4.32601;208.162
0.2;179.051;4.00997;183.061
0.25;158.958;2.96856;161.927
0.3;143.435;1.55232;144.988
0.35;132.091;0.110328;132.201
0.4;124.441;1.08552;123.355
0.45;120.049;1.86166;118.187
0.5;118.62;2.12915;116.491
0.55;120.049;1.86166;118.187
0.6;124.441;1.08552;123.355
0.65;132.091;0.110328;132.201
0.7;143.435;1.55232;144.988
0.75;158.958;2.96856;161.927
0.8;179.051;4.00997;183.061
0.85;203.836;4.32601;208.162
0.9;232.974;3.69022;236.665
0.95;265.536;2.13269;267.669
1;300;0;300
T= 0.4
0;300;0;300
0.05;270.774;1.27806;272.052
0.1;242.715;2.29256;245.007
0.15;216.844;2.85398;219.698
0.2;193.939;2.89245;196.831
0.25;174.489;2.4626;176.952
0.3;158.719;1.71424;160.434
0.35;146.65;0.845663;147.496
0.4;138.182;0.0567054;138.239
0.45;133.176;0.487898;132.688
0.5;131.522;0.681643;130.84
0.55;133.176;0.487898;132.688
0.6;138.182;0.0567054;138.239
0.65;146.65;0.845663;147.496
0.7;158.719;1.71424;160.434
0.75;174.489;2.4626;176.952
0.8;193.939;2.89245;196.831
0.85;216.844;2.85398;219.698
0.9;242.715;2.29256;245.007
0.95;270.774;1.27806;272.052
1;300;0;300
T= 0.5
0;300;0;300
0.05;274.389;0.83685;275.226
0.1;249.614;1.53627;251.15
0.15;226.441;1.99295;228.434
0.2;205.514;2.15669;207.671
0.25;187.324;2.04058;189.365
0.3;172.206;1.71375;173.92
0.35;160.357;1.28233;161.639
0.4;151.87;0.864487;152.735
0.45;146.777;0.565516;147.343
0.5;145.08;0.457364;145.538
0.55;146.777;0.565516;147.343
0.6;151.87;0.864487;152.735
0.65;160.357;1.28233;161.639
0.7;172.206;1.71375;173.92
0.75;187.324;2.04058;189.365
0.8;205.514;2.15669;207.671
0.85;226.441;1.99295;228.434
0.9;249.614;1.53627;251.15
0.95;274.389;0.83685;275.226
1;300;0;300
L1;260.291
L2;36.321
