x;Scheme;Error;Analytical
T= 0.1
0;300;0;300
0.05;100;-144.735;244.735
0.1;100;-95.9;195.9
0.15;100;-57.7689;157.769
0.2;100;-31.4598;131.46
0.25;100;-15.42;115.42
0.3;100;-6.77912;106.779
0.35;100;-2.66653;102.667
0.4;100;-0.939965;100.94
0.45;100;-0.312668;100.313
0.5;100;-0.162781;100.163
0.55;100;-0.312668;100.313
0.6;100;-0.939965;100.94
0.65;100;-2.66653;102.667
0.7;100;-6.77912;106.779
0.75;100;-15.42;115.42
0.8;100;-31.4598;131.46
0.85;100;-57.7689;157.769
0.9;100;-95.9;195.9
0.95;100;-144.735;244.735
1;300;5.68434e-14;300
T= 0.2
0;300;0;300
0.05;239.179;-21.3386;260.518
0.1;189.092;-34.3245;223.416
0.15;153.316;-37.3392;190.655
0.2;130.239;-33.2354;163.475
0.25;116.431;-25.8639;142.295
0.3;108.633;-18.1829;126.816
0.35;104.436;-11.8187;116.254
0.4;102.29;-7.34971;109.64
0.45;101.3;-4.78181;106.082
0.5;101.015;-3.95294;104.968
0.55;101.3;-4.78181;106.082
0.6;102.29;-7.34971;109.64
0.65;104.436;-11.8187;116.254
0.7;108.633;-18.1829;126.816
0.75;116.431;-25.8639;142.295
0.8;130.239;-33.2354;163.475
0.85;153.316;-37.3392;190.655
0.9;189.092;-34.3245;223.416
0.95;239.179;-21.3386;260.518
1;300;5.68434e-14;300
T= 0.3
0;300;0;300
0.05;258.524;-9.14425;267.669
0.1;220.161;-16.5032;236.665
0.15;187.212;-20.9497;208.162
0.2;160.774;-22.2871;183.061
0.25;140.831;-21.0958;161.927
0.3;126.624;-18.3636;144.988
0.35;117.075;-15.126;132.201
0.4;111.118;-12.2377;123.355
0.45;107.9;-10.287;118.187
0.5;106.889;-9.6022;116.491
0.55;107.9;-10.287;118.187
0.6;111.118;-12.2377;123.355
0.65;117.075;-15.126;132.201
0.7;126.624;-18.3636;144.988
0.75;140.831;-21.0958;161.927
0.8;160.774;-22.2871;183.061
0.85;187.212;-20.9497;208.162
0.9;220.161;-16.5032;236.665
0.95;258.524;-9.14425;267.669
1;300;0;300
T= 0.4
0;300;0;300
0.05;266.623;-5.42963;272.052
0.1;234.834;-10.1734;245.007
0.15;205.983;-13.7146;219.698
0.2;181.015;-15.816;196.831
0.25;160.409;-16.5425;176.952
0.3;144.23;-16.2034;160.434
0.35;132.248;-15.2475;147.496
0.4;124.09;-14.149;138.239
0.45;119.377;-13.3115;132.688
0.5;117.838;-13.0014;130.84
0.55;119.377;-13.3115;132.688
0.6;124.09;-14.149;138.239
0.65;132.248;-15.2475;147.496
0.7;144.23;-16.2034;160.434
0.75;160.409;-16.5425;176.952
0.8;181.015;-15.816;196.831
0.85;205.983;-13.7146;219.698
0.9;234.834;-10.1734;245.007
0.95;266.623;-5.42963;272.052
1;300;0;300
T= 0.5
0;300;0;300
0.05;271.429;-3.79718;275.226
0.1;243.886;-7.26476;251.15
0.15;218.297;-10.1373;228.434
0.2;195.41;-12.2611;207.671
0.25;175.751;-13.6141;189.365
0.3;159.625;-14.295;173.92
0.35;147.151;-14.4882;161.639
0.4;138.321;-14.4135;152.735
0.45;133.069;-14.2737;147.343
0.5;131.327;-14.2103;145.538
0.55;133.069;-14.2737;147.343
0.6;138.321;-14.4135;152.735
0.65;147.151;-14.4882;161.639
0.7;159.625;-14.295;173.92
0.75;175.751;-13.6141;189.365
0.8;195.41;-12.2611;207.671
0.85;218.297;-10.1373;228.434
0.9;243.886;-7.26476;251.15
0.95;271.429;-3.79718;275.226
1;300;0;300
