x;Scheme;Error;Analytical
T= 0.1
0;300;0;300
0.05;100;-144.735;244.735
0.1;100;-95.9;195.9
0.15;100;-57.7689;157.769
0.2;100;-31.4598;131.46
0.25;100;-15.42;115.42
0.3;100;-6.77912;106.779
0.35;100;-2.66653;102.667
0.4;100;-0.939965;100.94
0.45;100;-0.312668;100.313
0.5;100;-0.162781;100.163
0.55;100;-0.312668;100.313
0.6;100;-0.939965;100.94
0.65;100;-2.66653;102.667
0.7;100;-6.77912;106.779
0.75;100;-15.42;115.42
0.8;100;-31.4598;131.46
0.85;100;-57.7689;157.769
0.9;100;-95.9;195.9
0.95;100;-144.735;244.735
1;300;5.68434e-14;300
T= 0.2
0;300;0;300
0.05;233.335;-27.1825;260.518
0.1;183.338;-40.0781;223.416
0.15;150.01;-40.6452;190.655
0.2;129.186;-34.2889;163.475
0.25;116.703;-25.592;142.295
0.3;109.444;-17.3718;126.816
0.35;105.339;-10.9159;116.254
0.4;103.109;-6.5313;109.64
0.45;102.018;-4.06347;106.082
0.5;101.693;-3.27503;104.968
0.55;102.018;-4.06347;106.082
0.6;103.109;-6.5313;109.64
0.65;105.339;-10.9159;116.254
0.7;109.444;-17.3718;126.816
0.75;116.703;-25.592;142.295
0.8;129.186;-34.2889;163.475
0.85;150.01;-40.6452;190.655
0.9;183.338;-40.0781;223.416
0.95;233.335;-27.1825;260.518
1;300;5.68434e-14;300
T= 0.3
0;300;0;300
0.05;256.4;-11.2684;267.669
0.1;216.923;-19.7418;236.665
0.15;184.046;-24.1162;208.162
0.2;158.451;-24.6103;183.061
0.25;139.595;-22.3322;161.927
0.3;126.354;-18.6331;144.988
0.35;117.502;-14.6988;132.201
0.4;111.97;-11.3857;123.355
0.45;108.967;-9.22087;118.187
0.5;108.018;-8.47257;116.491
0.55;108.967;-9.22087;118.187
0.6;111.97;-11.3857;123.355
0.65;117.502;-14.6988;132.201
0.7;126.354;-18.6331;144.988
0.75;139.595;-22.3322;161.927
0.8;158.451;-24.6103;183.061
0.85;184.046;-24.1162;208.162
0.9;216.923;-19.7418;236.665
0.95;256.4;-11.2684;267.669
1;300;0;300
T= 0.4
0;300;0;300
0.05;265.536;-6.51626;272.052
0.1;232.974;-12.0328;245.007
0.15;203.836;-15.8621;219.698
0.2;179.051;-17.7799;196.831
0.25;158.958;-17.9937;176.952
0.3;143.435;-16.9984;160.434
0.35;132.091;-15.4051;147.496
0.4;124.441;-13.7979;138.239
0.45;120.049;-12.6392;132.688
0.5;118.62;-12.22;130.84
0.55;120.049;-12.6392;132.688
0.6;124.441;-13.7979;138.239
0.65;132.091;-15.4051;147.496
0.7;143.435;-16.9984;160.434
0.75;158.958;-17.9937;176.952
0.8;179.051;-17.7799;196.831
0.85;203.836;-15.8621;219.698
0.9;232.974;-12.0328;245.007
0.95;265.536;-6.51626;272.052
1;300;0;300
T= 0.5
0;300;0;300
0.05;270.774;-4.45204;275.226
0.1;242.715;-8.43581;251.15
0.15;216.844;-11.59;228.434
0.2;193.939;-13.732;207.671
0.25;174.489;-14.8756;189.365
0.3;158.719;-15.2003;173.92
0.35;146.65;-14.9887;161.639
0.4;138.182;-14.5526;152.735
0.45;133.176;-14.1666;147.343
0.5;131.522;-14.0161;145.538
0.55;133.176;-14.1666;147.343
0.6;138.182;-14.5526;152.735
0.65;146.65;-14.9887;161.639
0.7;158.719;-15.2003;173.92
0.75;174.489;-14.8756;189.365
0.8;193.939;-13.732;207.671
0.85;216.844;-11.59;228.434
0.9;242.715;-8.43581;251.15
0.95;270.774;-4.45204;275.226
1;300;0;300
