x;Scheme;Error;Analytical
T= 0.1
0;300;0;300
0.05;100;-144.735;244.735
0.1;100;-95.9;195.9
0.15;100;-57.7689;157.769
0.2;100;-31.4598;131.46
0.25;100;-15.42;115.42
0.3;100;-6.77912;106.779
0.35;100;-2.66653;102.667
0.4;100;-0.939965;100.94
0.45;100;-0.312668;100.313
0.5;100;-0.162781;100.163
0.55;100;-0.312668;100.313
0.6;100;-0.939965;100.94
0.65;100;-2.66653;102.667
0.7;100;-6.77912;106.779
0.75;100;-15.42;115.42
0.8;100;-31.4598;131.46
0.85;100;-57.7689;157.769
0.9;100;-95.9;195.9
0.95;100;-144.735;244.735
1;300;5.68434e-14;300
T= 0.2
0;300;0;300
0.05;242.467;-18.0512;260.518
0.1;192.977;-30.4397;223.416
0.15;155.856;-34.7995;190.655
0.2;131.122;-32.3524;163.475
0.25;116.218;-26.0771;142.295
0.3;107.97;-18.8459;126.816
0.35;103.729;-12.525;116.254
0.4;101.698;-7.94207;109.64
0.45;100.823;-5.25885;106.082
0.5;100.583;-4.3851;104.968
0.55;100.823;-5.25885;106.082
0.6;101.698;-7.94207;109.64
0.65;103.729;-12.525;116.254
0.7;107.97;-18.8459;126.816
0.75;116.218;-26.0771;142.295
0.8;131.122;-32.3524;163.475
0.85;155.856;-34.7995;190.655
0.9;192.977;-30.4397;223.416
0.95;242.467;-18.0512;260.518
1;300;5.68434e-14;300
T= 0.3
0;300;0;300
0.05;259.689;-7.97945;267.669
0.1;222.053;-14.6118;236.665
0.15;189.206;-18.9553;208.162
0.2;162.356;-20.7047;183.061
0.25;141.75;-20.1771;161.927
0.3;126.878;-18.1093;144.988
0.35;116.812;-15.3895;132.201
0.4;110.522;-12.8337;123.355
0.45;107.132;-11.0556;118.187
0.5;106.068;-10.4227;116.491
0.55;107.132;-11.0556;118.187
0.6;110.522;-12.8337;123.355
0.65;116.812;-15.3895;132.201
0.7;126.878;-18.1093;144.988
0.75;141.75;-20.1771;161.927
0.8;162.356;-20.7047;183.061
0.85;189.206;-18.9553;208.162
0.9;222.053;-14.6118;236.665
0.95;259.689;-7.97945;267.669
1;300;0;300
T= 0.4
0;300;0;300
0.05;267.232;-4.82075;272.052
0.1;235.901;-9.1065;245.007
0.15;207.259;-12.439;219.698
0.2;182.231;-14.6005;196.831
0.25;161.349;-15.6026;176.952
0.3;144.774;-15.6595;160.434
0.35;132.378;-15.118;147.496
0.4;123.87;-14.3688;138.239
0.45;118.928;-13.7601;132.688
0.5;117.311;-13.5293;130.84
0.55;118.928;-13.7601;132.688
0.6;123.87;-14.3688;138.239
0.65;132.378;-15.118;147.496
0.7;144.774;-15.6595;160.434
0.75;161.349;-15.6026;176.952
0.8;182.231;-14.6005;196.831
0.85;207.259;-12.439;219.698
0.9;235.901;-9.1065;245.007
0.95;267.232;-4.82075;272.052
1;300;0;300
T= 0.5
0;300;0;300
0.05;271.797;-3.42919;275.226
0.1;244.551;-6.59946;251.15
0.15;219.136;-9.29785;228.434
0.2;196.278;-11.3926;207.671
0.25;176.515;-12.85;189.365
0.3;160.19;-13.7299;173.92
0.35;147.477;-14.1616;161.639
0.4;138.427;-14.3074;152.735
0.45;133.021;-14.3214;147.343
0.5;131.225;-14.3129;145.538
0.55;133.021;-14.3214;147.343
0.6;138.427;-14.3074;152.735
0.65;147.477;-14.1616;161.639
0.7;160.19;-13.7299;173.92
0.75;176.515;-12.85;189.365
0.8;196.278;-11.3926;207.671
0.85;219.136;-9.29785;228.434
0.9;244.551;-6.59946;251.15
0.95;271.797;-3.42919;275.226
1;300;0;300
