x;Scheme;Truncation Error;Analytical Solution
T= 0
0;300;0;300
0.05;100;0.0813912;100.081
0.1;100;0.0412029;100.041
0.15;100;0.0280455;100.028
0.2;100;0.0216616;100.022
0.25;100;0.0180063;100.018
0.3;100;0.0157381;100.016
0.35;100;0.0142899;100.014
0.4;100;0.0133876;100.013
0.45;100;0.0128911;100.013
0.5;100;0.0127324;100.013
0.55;100;0.0128911;100.013
0.6;100;0.0133876;100.013
0.65;100;0.0142899;100.014
0.7;100;0.0157381;100.016
0.75;100;0.0180063;100.018
0.8;100;0.0216616;100.022
0.85;100;0.0280455;100.028
0.9;100;0.0412029;100.041
0.95;100;0.0813912;100.081
1;300;1.55751e-10;300
L1;0.0240934
L2;0.00699224
T= 0.1
0;300;0;300
0.05;242.467;2.2681;244.735
0.1;192.977;2.92331;195.9
0.15;155.856;1.91318;157.769
0.2;131.122;0.337468;131.46
0.25;116.218;0.798137;115.42
0.3;107.97;1.19088;106.779
0.35;103.729;1.06291;102.667
0.4;101.698;0.757973;100.94
0.45;100.823;0.510179;100.313
0.5;100.583;0.419849;100.163
0.55;100.823;0.510179;100.313
0.6;101.698;0.757973;100.94
0.65;103.729;1.06291;102.667
0.7;107.97;1.19088;106.779
0.75;116.218;0.798137;115.42
0.8;131.122;0.337468;131.46
0.85;155.856;1.91318;157.769
0.9;192.977;2.92331;195.9
0.95;242.467;2.2681;244.735
1;300;5.68434e-14;300
L1;1.1402
L2;0.312782
T= 0.2
0;300;0;300
0.05;259.689;0.82859;260.518
0.1;222.053;1.36359;223.416
0.15;189.206;1.44876;190.655
0.2;162.356;1.11829;163.475
0.25;141.75;0.545677;142.295
0.3;126.878;0.0624044;126.816
0.35;116.812;0.557086;116.254
0.4;110.522;0.881569;109.64
0.45;107.132;1.05012;106.082
0.5;106.068;1.10029;104.968
0.55;107.132;1.05012;106.082
0.6;110.522;0.881569;109.64
0.65;116.812;0.557086;116.254
0.7;126.878;0.0624044;126.816
0.75;141.75;0.545677;142.295
0.8;162.356;1.11829;163.475
0.85;189.206;1.44876;190.655
0.9;222.053;1.36359;223.416
0.95;259.689;0.82859;260.518
1;300;5.68434e-14;300
L1;0.800595
L2;0.201948
T= 0.3
0;300;0;300
0.05;267.232;0.437182;267.669
0.1;235.901;0.763933;236.665
0.15;207.259;0.902986;208.162
0.2;182.231;0.830575;183.061
0.25;161.349;0.577502;161.927
0.3;144.774;0.2134;144.988
0.35;132.378;0.176856;132.201
0.4;123.87;0.514617;123.355
0.45;118.928;0.740681;118.187
0.5;117.311;0.819863;116.491
0.55;118.928;0.740681;118.187
0.6;123.87;0.514617;123.355
0.65;132.378;0.176856;132.201
0.7;144.774;0.2134;144.988
0.75;161.349;0.577502;161.927
0.8;182.231;0.830575;183.061
0.85;207.259;0.902986;208.162
0.9;235.901;0.763933;236.665
0.95;267.232;0.437182;267.669
1;300;0;300
L1;0.530254
L2;0.131963
T= 0.4
0;300;0;300
0.05;271.797;0.255205;272.052
0.1;244.551;0.456213;245.007
0.15;219.136;0.561787;219.698
0.2;196.278;0.553058;196.831
0.25;176.515;0.43704;176.952
0.3;160.19;0.24379;160.434
0.35;147.477;0.0185806;147.496
0.4;138.427;0.188518;138.239
0.45;133.021;0.333082;132.688
0.5;131.225;0.384839;130.84
0.55;133.021;0.333082;132.688
0.6;138.427;0.188518;138.239
0.65;147.477;0.0185806;147.496
0.7;160.19;0.24379;160.434
0.75;176.515;0.43704;176.952
0.8;196.278;0.553058;196.831
0.85;219.136;0.561787;219.698
0.9;244.551;0.456213;245.007
0.95;271.797;0.255205;272.052
1;300;0;300
L1;0.308542
L2;0.0787099
T= 0.5
0;300;0;300
0.05;275.068;0.158559;275.226
0.1;250.862;0.288694;251.15
0.15;228.066;0.368183;228.434
0.2;207.285;0.385764;207.671
0.25;189.021;0.343373;189.365
0.3;173.664;0.255427;173.92
0.35;161.493;0.145393;161.639
0.4;152.694;0.0405061;152.735
0.45;147.377;0.0341843;147.343
0.5;145.599;0.0611721;145.538
0.55;147.377;0.0341843;147.343
0.6;152.694;0.0405061;152.735
0.65;161.493;0.145393;161.639
0.7;173.664;0.255427;173.92
0.75;189.021;0.343373;189.365
0.8;207.285;0.385764;207.671
0.85;228.066;0.368183;228.434
0.9;250.862;0.288694;251.15
0.95;275.068;0.158559;275.226
1;300;0;300
L1;0.195302
L2;0.0522433
