x;0;0.001;0.002;0.003;0.004;0.005;0.006;0.007;0.008;0.009;0.01;0.011;0.012;0.013;0.014;0.015;0.016;0.017;0.018;0.019;0.02;0.021;0.022;0.023;0.024;0.025;0.026;0.027;0.028;0.029;0.03;0.031;0.032;0.033;0.034;0.035;0.036;0.037;0.038;0.039;
t = 0.29 n = 29 ;300;267.604;235.711;207.943;181.459;161.522;143.147;131.628;121.542;117.518;114.726;117.518;121.542;131.628;143.147;161.522;181.459;207.943;235.711;267.604;300;
t = 0.3 n = 30 ;300;267.715;237.52;208.228;184.331;161.869;146.156;131.946;124.204;117.792;117.179;117.792;124.204;131.946;146.156;161.869;184.331;208.228;237.52;267.715;300;
t = 0.31 n = 31 ;300;268.631;237.721;210.594;184.65;164.83;146.49;134.785;124.499;120.339;117.451;120.339;124.499;134.785;146.49;164.83;184.65;210.594;237.721;268.631;300;
t = 0.32 n = 32 ;300;268.733;239.38;210.857;187.336;165.159;149.402;135.1;127.189;120.621;119.987;120.621;127.189;135.1;149.402;165.159;187.336;210.857;239.38;268.733;300;
t = 0.33 n = 33 ;300;269.572;239.564;213.051;187.635;167.976;149.725;137.905;127.487;123.227;120.269;123.227;127.487;137.905;149.725;167.976;187.635;213.051;239.564;269.572;300;
t = 0.34 n = 34 ;300;269.666;241.097;213.295;190.16;168.289;152.547;138.217;130.191;123.516;122.867;123.516;130.191;138.217;152.547;168.289;190.16;213.295;241.097;269.666;300;
t = 0.35 n = 35 ;300;270.44;241.267;215.342;190.441;170.978;152.861;140.984;130.491;126.162;123.156;126.162;130.491;140.984;152.861;170.978;190.441;215.342;241.267;270.44;300;
t = 0.36 n = 36 ;300;270.526;242.692;215.57;192.827;171.277;155.6;141.292;133.197;126.456;125.796;126.456;133.197;141.292;155.6;171.277;192.827;215.57;242.692;270.526;300;
t = 0.37 n = 37 ;300;271.245;242.85;217.491;193.092;173.854;155.904;144.019;133.498;129.126;126.089;129.126;133.498;144.019;155.904;173.854;193.092;217.491;242.85;271.245;300;
t = 0.38 n = 38 ;300;271.325;244.182;217.704;195.356;174.14;158.566;144.322;136.198;129.423;128.756;129.423;136.198;144.322;158.566;174.14;195.356;217.704;244.182;271.325;300;
t = 0.39 n = 39 ;300;271.997;244.33;219.516;195.608;176.616;158.862;147.008;136.498;132.105;129.052;132.105;136.498;147.008;158.862;176.616;195.608;219.516;244.33;271.997;300;
t = 0.4 n = 40 ;300;272.072;245.581;219.717;197.765;176.891;161.451;147.306;139.183;132.402;131.732;132.402;139.183;147.306;161.451;176.891;197.765;219.717;245.581;272.072;300;
t = 0.41 n = 41 ;300;272.703;245.721;221.433;198.004;179.276;161.739;149.949;139.481;135.085;132.03;135.085;139.481;149.949;161.739;179.276;198.004;221.433;245.721;272.703;300;
t = 0.42 n = 42 ;300;272.773;246.903;221.624;200.067;179.541;164.261;150.243;142.147;135.383;134.713;135.383;142.147;150.243;164.261;179.541;200.067;221.624;246.903;272.773;300;
t = 0.43 n = 43 ;300;273.368;247.034;223.257;200.296;181.843;164.542;152.842;142.443;138.058;135.011;138.058;142.443;152.842;164.542;181.843;200.296;223.257;247.034;273.368;300;
t = 0.44 n = 44 ;300;273.434;248.156;223.438;202.274;182.099;167;153.131;145.083;138.355;137.686;138.355;145.083;153.131;167;182.099;202.274;223.438;248.156;273.434;300;
t = 0.45 n = 45 ;300;273.999;248.281;224.997;202.494;184.327;167.274;155.686;145.377;141.015;137.984;141.015;145.377;155.686;167.274;184.327;202.494;224.997;248.281;273.999;300;
t = 0.46 n = 46 ;300;274.062;249.349;225.171;204.397;184.574;169.673;155.97;147.988;141.311;140.645;141.311;147.988;155.97;169.673;184.574;204.397;225.171;249.349;274.062;300;
t = 0.47 n = 47 ;300;274.599;249.468;226.665;204.608;186.734;169.939;158.481;148.278;143.95;140.941;143.95;148.278;158.481;169.939;186.734;204.608;226.665;249.468;274.599;300;
t = 0.48 n = 48 ;300;274.659;250.489;226.831;206.443;186.974;172.281;158.76;150.857;144.243;143.583;144.243;150.857;158.76;172.281;186.974;206.443;226.831;250.489;274.659;300;
t = 0.49 n = 49 ;300;275.173;250.603;228.266;206.647;189.07;172.541;161.226;151.143;146.856;143.876;146.856;151.143;161.226;172.541;189.07;206.647;228.266;250.603;275.173;300;
t = 0.5 n = 50 ;300;275.23;251.583;228.426;208.421;189.303;174.829;161.5;153.687;147.147;146.493;147.147;153.687;161.5;174.829;189.303;208.421;228.426;251.583;275.23;300;
